Clima y Cultura,Dirección Estratégica,Comunicación Organizacional,Puedo acceder de manera fácil y oportuna a la información actualizada que requiero para hacer mi trabajo.
Clima y Cultura,Dirección Estratégica,Alineación y Procesos,La estructura y los procesos de la empresa facilita el logro de los Objetivos de la organización.
Clima y Cultura,Dirección Estratégica,Alineación y Procesos,Las Áreas de la organización interactúan y comparten sus prácticas y la información para hacer mejor su trabajo.
Clima y Cultura,Dirección Estratégica,Aprendizaje,"En la organización, aprendemos de las situaciones pasadas."
Clima y Cultura,Dirección Estratégica,Aprendizaje,La organización es un lugar  donde se puede crear e innovar.
Clima y Cultura,Dirección Estratégica,Direccionamiento y Orientación a resultados,En la organización se hace seguimiento al progreso y logro de los  objetivos y metas.
Clima y Cultura,Dirección Estratégica,Direccionamiento y Orientación a resultados,"Conozco la Misión, Visión y objetivos estratégicos de la Compañía."
Clima y Cultura,Dirección Estratégica,Servicio al Cliente,En la organización estamos orientados a lograr la excelencia en el servicio que nuestros clientes requieren.
Clima y Cultura,Dirección Estratégica,Servicio al Cliente,Todos trabajamos constantemente en función de mejorar el servicio que brinda la organización.
Clima y Cultura,Dirección Estratégica,Servicio al Cliente,la organización cuenta con mecanismos que permiten conocer el nivel de satisfacción de nuestros clientes.
Clima y Cultura,Dirección Estratégica,Alineación y Procesos,Los mecanismos utilizados por la organización para informarme acerca del sistema de gestión de la calidad han sido efectivos.
Clima y Cultura,Dirección Estratégica,Comunicación Organizacional,La Empresa difunde clara y oportunamente la información sobre los cambios que ocurren en la Compañía.
Clima y Cultura,Dirección Estratégica,Comunicación Organizacional,En la Organización usamos de forma adecuada los canales diseñados para difundir la información.
Clima y Cultura,Gestion del Talento,Reconocimiento,La organización valora y apoya las personas que se destacan por la calidad y oportunidad de su trabajo.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,Nuestra organización facilita que yo obtenga la formación necesaria para desarrollar y fortalecer mis habilidades.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,Las personas que se vinculan o cambian de cargo reciben entrenamiento y la inducción necesaria para realizar su trabajo.
Clima y Cultura,Gestión del Talento,Aprendizaje y Desarrollo,En la organización se respetan los requisitos exigidos para los ascensos.
